split,cohort,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std
dev,NACT,v2_cond_lcc_largestfrac_le_0p95,20,20,0.5932424484097306,0.7209538188612463,0.3179892802184475,0.4850096590065432,0.5636688150383606,0.2982593985586108,0.6285242122704506,0.7623187778278095,0.35910847492259923,0.6822766658478623,0.7893195689350159,0.30185860420201377,30.074003605581925,15.511322684564949,31.57204161030402,27.32588650143428,9.669671342106085,38.05059624213151,2.159090042667026,1.014009505638894,3.661190528775466,34.1,1.0,54.545876393903036,0.992913625038185,1.0,0.012611776114261538
dev,NACT,v2_cond_lcc_ncomp_ge_2,20,20,0.5953724286833372,0.7268939245743138,0.31911736655383344,0.4878295229069914,0.5709684922774283,0.29982257744798924,0.633054716310254,0.7804435425714218,0.3609882959197231,0.6820241326906518,0.7893195689350159,0.30191541935426225,29.688529776389878,15.438153743613658,31.103031163534148,27.32588650143428,9.669671342106085,38.05059624213151,2.149710809607511,0.996317684335319,3.659916891948295,1.0,1.0,0.0,1.0,1.0,0.0
dev,NACT,v2_cond_lcc_ncomp_ge_3,20,20,0.5953724286833372,0.7268939245743138,0.31911736655383344,0.4878295229069914,0.5709684922774283,0.29982257744798924,0.633054716310254,0.7804435425714218,0.3609882959197231,0.6820241326906518,0.7893195689350159,0.30191541935426225,29.688529776389878,15.438153743613658,31.103031163534148,27.32588650143428,9.669671342106085,38.05059624213151,2.149710809607511,0.996317684335319,3.659916891948295,1.0,1.0,0.0,1.0,1.0,0.0
dev,NACT,v2_cond_lcc_ncomp_ge_4,20,20,0.5953724286833372,0.7268939245743138,0.31911736655383344,0.4878295229069914,0.5709684922774283,0.29982257744798924,0.633054716310254,0.7804435425714218,0.3609882959197231,0.6820241326906518,0.7893195689350159,0.30191541935426225,29.688529776389878,15.438153743613658,31.103031163534148,27.32588650143428,9.669671342106085,38.05059624213151,2.149710809607511,0.996317684335319,3.659916891948295,1.0,1.0,0.0,1.0,1.0,0.0
dev,NACT,v2_cond_lcc_ncomp_ge_5,20,20,0.5953724286833372,0.7268939245743138,0.31911736655383344,0.4878295229069914,0.5709684922774283,0.29982257744798924,0.633054716310254,0.7804435425714218,0.3609882959197231,0.6820241326906518,0.7893195689350159,0.30191541935426225,29.688529776389878,15.438153743613658,31.103031163534148,27.32588650143428,9.669671342106085,38.05059624213151,2.149710809607511,0.996317684335319,3.659916891948295,1.0,1.0,0.0,1.0,1.0,0.0
dev,NACT,v2_cond_lcc_predvol_gt_q75,20,20,0.5426059666421492,0.6168682866643059,0.2504322857206684,0.40818822365305507,0.44608594093391907,0.22223893137868503,0.5321391994524897,0.5218914917293158,0.31499977934341356,0.7230065104186072,0.8056747723360222,0.2554059171223182,32.19000051950894,24.243525869555743,29.80797500554418,27.32588650143428,9.669671342106085,38.05059624213151,2.5221476466774804,1.459961837072428,3.6276522032516123,32.9,25.5,34.67427379423965,0.8198061259544855,0.9169152119562154,0.20944153947486266
dev,NACT,v2_cond_lcc_predvol_gt_q85,20,20,0.5415993983665067,0.6168682866643059,0.24988215427695137,0.4070158960621885,0.44608594093391907,0.22150083161662704,0.529722813089877,0.5218914917293158,0.3131860642216782,0.7232206659803244,0.8056747723360222,0.2553108418361934,32.38627329944145,24.243525869555743,29.9302430989151,27.32588650143428,9.669671342106085,38.05059624213151,2.528318563481495,1.459961837072428,3.6292555266184205,56.25,51.0,49.49840507797355,0.8159285528663739,0.9169152119562154,0.20620860574163802
dev,NACT,v2_cond_lcc_predvol_gt_q90,20,20,0.5408810913442775,0.6168682866643059,0.24889431954967256,0.4058966086052894,0.44608594093391907,0.2195833328843229,0.5284751688806735,0.5218914917293158,0.31201395241762986,0.7232206659803244,0.8056747723360222,0.2553108418361934,32.49513682483207,24.243525869555743,30.075645437119142,27.32588650143428,9.669671342106085,38.05059624213151,2.5301062203682765,1.459961837072428,3.628544416444461,59.3,54.5,47.76378280002979,0.8144080866453056,0.9169152119562154,0.20488781352785518
dev,NACT,v2_cond_lcc_predvol_gt_q95,20,20,0.5404677167101413,0.6168682866643059,0.24925262749209257,0.4055636569381509,0.44608594093391907,0.2196834410074897,0.5278407670006048,0.5218914917293158,0.3117282700500324,0.7232590435758178,0.8056747723360222,0.25529608449415436,32.781336165652384,24.243525869555743,30.648280396092073,27.32588650143428,9.669671342106085,38.05059624213151,2.5740333280540524,1.459961837072428,3.804628883308481,68.45,61.5,44.21178099723385,0.8112612525852214,0.9169152119562154,0.20218841423409098
dev,NACT,v2_lcc,20,20,0.5953724286833372,0.7268939245743138,0.31911736655383344,0.4878295229069914,0.5709684922774283,0.29982257744798924,0.633054716310254,0.7804435425714218,0.3609882959197231,0.6820241326906518,0.7893195689350159,0.30191541935426225,29.688529776389878,15.438153743613658,31.103031163534148,27.32588650143428,9.669671342106085,38.05059624213151,2.149710809607511,0.996317684335319,3.659916891948295,1.0,1.0,0.0,1.0,1.0,0.0
