split,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std,dice_ci95_low,dice_ci95_high,family
dev,v2_cond_lcc_largestfrac_le_0p95,159,159,0.5983889224387776,0.7123674535088187,0.2750249729835379,0.4742457572050974,0.5532381543554727,0.246019533869402,0.6193070749719363,0.7206162556481028,0.3067562103903449,0.6620057302784921,0.7641260478112387,0.2984874255332261,28.66977019995501,13.358154296875,39.20473639075233,27.846511393517343,11.200298614802886,43.306310802881,1.643360376881608,1.1072148327287386,2.251714553510184,26.37735849056604,1.0,61.78768047759238,0.9942680835548532,1.0,0.011455011009035,0.5557170522808069,0.6405343640131567,lcc
dev,v2_cond_lcc_ncomp_ge_2,159,159,0.5999463707201482,0.7133408387278356,0.2760397618842477,0.4763614923828544,0.5544132122935579,0.24760198170058,0.623066646387232,0.7233848122087179,0.3086522698355807,0.6615651816892185,0.7613729508196722,0.2985664194663925,28.373744732159956,13.358154296875,38.58871408097404,27.846511393517343,11.200298614802886,43.306310802881,1.6373130210982756,1.1066827091793252,2.252388181573654,1.0,1.0,0.0,1.0,1.0,0.0,0.5571777752820298,0.6424553381949129,lcc
dev,v2_cond_lcc_ncomp_ge_3,159,159,0.5999463707201482,0.7133408387278356,0.2760397618842477,0.4763614923828544,0.5544132122935579,0.24760198170058,0.623066646387232,0.7233848122087179,0.3086522698355807,0.6615651816892185,0.7613729508196722,0.2985664194663925,28.373744732159956,13.358154296875,38.58871408097404,27.846511393517343,11.200298614802886,43.306310802881,1.6373130210982756,1.1066827091793252,2.252388181573654,1.0,1.0,0.0,1.0,1.0,0.0,0.5571777752820298,0.6424553381949129,lcc
dev,v2_cond_lcc_ncomp_ge_4,159,159,0.5999463707201482,0.7133408387278356,0.2760397618842477,0.4763614923828544,0.5544132122935579,0.24760198170058,0.623066646387232,0.7233848122087179,0.3086522698355807,0.6615651816892185,0.7613729508196722,0.2985664194663925,28.373744732159956,13.358154296875,38.58871408097404,27.846511393517343,11.200298614802886,43.306310802881,1.6373130210982756,1.1066827091793252,2.252388181573654,1.0,1.0,0.0,1.0,1.0,0.0,0.5571777752820298,0.6424553381949129,lcc
dev,v2_cond_lcc_ncomp_ge_5,159,159,0.599935255843067,0.7133408387278356,0.2760329092345005,0.4763468214544096,0.5544132122935579,0.2475931320096933,0.6230464751823728,0.7233848122087179,0.3086450666287178,0.6615651816892185,0.7613729508196722,0.2985664194663925,28.373838012108703,13.358154296875,38.588653300291256,27.846511393517343,11.200298614802886,43.306310802881,1.637343440968535,1.1069748621718678,2.2523809438769278,1.018867924528302,1.0,0.237915475715443,0.999972525774258,1.0,0.0003464368048277,0.5571777752820298,0.6424117123023682,lcc
dev,v2_cond_lcc_predvol_gt_q75,159,159,0.5683405067061237,0.6331413060741254,0.2341208202033151,0.4310385411903031,0.4632090419351431,0.212287525060643,0.5491192248943654,0.5976487499358283,0.2757368941080369,0.7105596735141094,0.792762679843046,0.249166422000021,30.927300018692417,16.636902568483986,37.90779856624541,27.846511393517343,11.200298614802886,43.306310802881,2.045824113030453,1.302924880814328,2.490357008131434,65.27044025157232,45.0,77.29187534345863,0.8374751829796485,0.9129429892141756,0.1870186693248587,0.5335661514614304,0.6056963383570633,lcc
dev,v2_cond_lcc_predvol_gt_q85,159,159,0.5666526075823486,0.6279037800687285,0.2296638681414685,0.4283088534093938,0.4576237227008615,0.2095981888844399,0.5452076070159808,0.5886199564873418,0.2731714732912298,0.7214774674961839,0.7940833576216847,0.2351636856107771,31.647878747437897,16.636902568483986,38.11478380052259,27.846511393517343,11.200298614802886,43.306310802881,2.1422771639383957,1.3117359413202934,2.7486262278578564,86.69182389937107,58.0,101.9808215828004,0.8235552877161721,0.8974132863021752,0.1890606487220123,0.532798204999357,0.6026519137276786,lcc
dev,v2_cond_lcc_predvol_gt_q90,159,159,0.56668781469176,0.6279037800687285,0.2250905551534509,0.4271686785720137,0.4576237227008615,0.2061224258468567,0.5436199567734765,0.5886199564873418,0.2701750606257389,0.7268767659310087,0.797881010594947,0.2282484533840971,32.20429195512321,16.636902568483986,38.49817477330004,27.846511393517343,11.200298614802886,43.306310802881,2.165915716038728,1.315801792162632,2.753444761198343,98.1509433962264,67.0,107.5939500369208,0.8153543227967215,0.8858506944444444,0.187758444799488,0.5325307041747791,0.6025368255057147,lcc
dev,v2_cond_lcc_predvol_gt_q95,159,159,0.5670854124847675,0.6279037800687285,0.2212785527310244,0.4266570471575937,0.4576237227008615,0.2036369791668816,0.5422258691462576,0.5770274344287006,0.2669256208936323,0.7320520594185574,0.8010216984472207,0.220854507209948,32.783357774832815,16.636902568483986,39.1788456022425,27.846511393517343,11.200298614802886,43.306310802881,2.215018313144048,1.3284386405109487,2.995516965746956,109.08176100628933,78.0,110.19602605767848,0.8086645698504922,0.8669169290385081,0.1849036916765708,0.5332977102775076,0.6029486929722526,lcc
dev,v2_lcc,159,159,0.5999463707201482,0.7133408387278356,0.2760397618842477,0.4763614923828544,0.5544132122935579,0.24760198170058,0.623066646387232,0.7233848122087179,0.3086522698355807,0.6615651816892185,0.7613729508196722,0.2985664194663925,28.373744732159956,13.358154296875,38.58871408097404,27.846511393517343,11.200298614802886,43.306310802881,1.6373130210982756,1.1066827091793252,2.252388181573654,1.0,1.0,0.0,1.0,1.0,0.0,0.5571777752820298,0.6424553381949129,lcc
