feature_a,feature_b,spearman_rho,abs_rho,n
kin_tumor_to_ring_auc_norm_diff,kin_gt_auc_enh_norm,0.74831325686168,0.74831325686168,526
v1_lcc_pred_vol_cm3,log_gt_vol_cm3,0.7448365554979505,0.7448365554979505,526
gt_vol_cm3,v1_lcc_pred_vol_cm3,0.7448365554979505,0.7448365554979505,526
v1_raw_pred_vol_cm3,v2_raw_n_components,0.7447080893061075,0.7447080893061075,526
v1_raw_pred_vol_cm3,kin_n_components,0.7447080893061075,0.7447080893061075,526
v1_raw_n_components,v1_raw_n_components_ge100,0.7408717216102457,0.7408717216102457,526
v1_raw_n_components,v2_raw_n_components_ge100,0.7401971261112091,0.7401971261112091,526
v2_raw_n_components,v2_raw_n_components_ge100,0.7395154246775726,0.7395154246775726,526
v2_raw_n_components_ge100,kin_n_components,0.7395154246775726,0.7395154246775726,526
kin_tumor_to_ring_max_enh_diff,kin_tumor_to_fg_max_enh_diff,0.7373232722501487,0.7373232722501487,526
v1_small50_pred_vol_cm3,v2_raw_n_components,0.7322677973510513,0.7322677973510513,526
v1_small50_pred_vol_cm3,kin_n_components,0.7322677973510513,0.7322677973510513,526
v1_small100_pred_vol_cm3,v2_raw_n_components,0.7280865798424112,0.7280865798424112,526
v1_small100_pred_vol_cm3,kin_n_components,0.7280865798424112,0.7280865798424112,526
v2_raw_pred_vol_cm3,kin_n_components,0.7266916038092324,0.7266916038092324,526
v2_raw_pred_vol_cm3,v2_raw_n_components,0.7266916038092324,0.7266916038092324,526
v1_raw_pred_vol_cm3,v1_raw_n_components,0.726288956535173,0.726288956535173,526
v1_raw_n_components_ge100,kin_n_components,0.7226192747174394,0.7226192747174394,526
v1_raw_n_components_ge100,v2_raw_n_components,0.7226192747174394,0.7226192747174394,526
v2_small50_pred_vol_cm3,kin_n_components,0.7134780659401145,0.7134780659401145,526
v2_small50_pred_vol_cm3,v2_raw_n_components,0.7134780659401145,0.7134780659401145,526
v1_small50_pred_vol_cm3,v1_raw_n_components,0.7133265919229663,0.7133265919229663,526
gt_vol_cm3,v2_small100_pred_vol_cm3,0.7094520241556698,0.7094520241556698,526
v2_small100_pred_vol_cm3,log_gt_vol_cm3,0.7094520241556698,0.7094520241556698,526
v2_small50_pred_vol_cm3,log_gt_vol_cm3,0.709081711428592,0.709081711428592,526
gt_vol_cm3,v2_small50_pred_vol_cm3,0.709081711428592,0.709081711428592,526
v1_small100_pred_vol_cm3,v1_raw_n_components,0.7088974682701784,0.7088974682701784,526
v2_small100_pred_vol_cm3,v2_raw_n_components,0.7082057697927262,0.7082057697927262,526
v2_small100_pred_vol_cm3,kin_n_components,0.7082057697927262,0.7082057697927262,526
gt_vol_cm3,v2_raw_pred_vol_cm3,0.7078715779210003,0.7078715779210003,526
v2_raw_pred_vol_cm3,log_gt_vol_cm3,0.7078715779210003,0.7078715779210003,526
gt_vol_cm3,v1_small100_pred_vol_cm3,0.7050184135962737,0.7050184135962737,526
v1_small100_pred_vol_cm3,log_gt_vol_cm3,0.7050184135962737,0.7050184135962737,526
v1_small50_pred_vol_cm3,log_gt_vol_cm3,0.7042712740683174,0.7042712740683174,526
gt_vol_cm3,v1_small50_pred_vol_cm3,0.7042712740683174,0.7042712740683174,526
gt_vol_cm3,v1_raw_pred_vol_cm3,0.7026899208107136,0.7026899208107136,526
v1_raw_pred_vol_cm3,log_gt_vol_cm3,0.7026899208107136,0.7026899208107136,526
v1_raw_n_components,v2_raw_pred_vol_cm3,0.701419766125209,0.701419766125209,526
kin_gt_auc_enh,kin_ring_auc_enh,0.697544544617798,0.697544544617798,526
v1_raw_n_components,v2_small50_pred_vol_cm3,0.6880219845370081,0.6880219845370081,526
v1_raw_n_components,v2_small100_pred_vol_cm3,0.6826759331741448,0.6826759331741448,526
kin_tumor_to_ring_max_enh_diff,kin_gt_max_enh,0.676199903731884,0.676199903731884,526
v1_lcc_pred_vol_cm3,v2_raw_n_components,0.652817078589946,0.652817078589946,526
v1_lcc_pred_vol_cm3,kin_n_components,0.652817078589946,0.652817078589946,526
v2_raw_dice_utilization_of_volume_bound,v1_lcc_dice_gap_to_volume_bound,-0.6495441889287354,0.6495441889287354,526
v1_raw_dice_utilization_of_volume_bound,v1_lcc_dice_gap_to_volume_bound,-0.6432391270891825,0.6432391270891825,526
kin_gt_max_enh,kin_selected_max_enh,0.6383947489540617,0.6383947489540617,525
v1_raw_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.6343858166350067,0.6343858166350067,526
v2_lcc_pred_vol_cm3,v2_raw_n_components,0.633564216652326,0.633564216652326,526
v2_lcc_pred_vol_cm3,kin_n_components,0.633564216652326,0.633564216652326,526
v1_small50_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.6334223109089091,0.6334223109089091,526
v1_small100_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.6327906106634976,0.6327906106634976,526
v1_lcc_pred_vol_cm3,v1_raw_n_components,0.6304594974974679,0.6304594974974679,526
v2_raw_dice_utilization_of_volume_bound,v2_lcc_dice_gap_to_volume_bound,-0.6243650875308706,0.6243650875308706,526
v2_raw_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.6238142994227005,0.6238142994227005,526
v2_small50_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.6213791902140471,0.6213791902140471,526
kin_gt_auc_enh_norm,kin_selected_max_enh,0.6213553868417016,0.6213553868417016,525
v2_small100_pred_to_gt_vol_ratio,v1_raw_theoretical_max_dice_by_volume_ratio,-0.6201624601760243,0.6201624601760243,526
kin_gt_auc_enh_norm,kin_ring_auc_enh_norm,0.6137489010077232,0.6137489010077232,526
v1_raw_n_components,v2_lcc_pred_vol_cm3,0.6094248832982613,0.6094248832982613,526
