cohort,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
ISPY1,v1_small50,171,0.5378142032688492,0.23397356992460025,0.5510005739429883,0.401914707804621,0.21688815867292116,0.3802627965439297,0.5197268348660543,0.26324281732301186,0.5755014176204978,0.7014452962886246,0.23859416437353448,0.7762968678755569,38.32464963600854,38.93158184988316,24.05961039050453,35.25184221467186,55.854340627945334,14.904794040194249,2.956610510951529,7.7156483691393385,1.2924340467894475,,,
ISPY1,v1_small100,171,0.5395293160944655,0.23439214002824615,0.5523271455474845,0.40372279735770483,0.21754550353539165,0.3815275971009106,0.5232085550308994,0.26426031034225933,0.5817168634735306,0.7009994686911665,0.23914253439907748,0.7762968678755569,38.08024407832207,38.78298518682282,24.01200294971204,35.25184221467186,55.854340627945334,14.904794040194249,2.9328052389082866,7.679612686132554,1.2740169238427077,,,
ISPY1,v2_small50,171,0.54321543273157,0.2320273654283791,0.5673987055258334,0.4066944121576589,0.2159950162168037,0.3960618405933354,0.5251919969302649,0.262213576648168,0.5774940714030471,0.7064934152715049,0.23366732281773206,0.7762968678755569,38.48514520501902,39.3554769850853,24.05823709894321,35.25184221467186,55.854340627945334,14.904794040194249,2.9537098941047586,7.712894690440883,1.324865001993259,,,
ISPY1,v2_small100,171,0.5448755533004513,0.23245000512071615,0.5685686436230036,0.40845942599511104,0.21664084478360449,0.3972028704625216,0.5285385896923831,0.26325002006844517,0.5829268292682926,0.7060622158843259,0.2342066495108174,0.7762968678755569,38.245404554187445,39.19845012033909,24.01062965815072,35.25184221467186,55.854340627945334,14.904794040194249,2.9313400728675103,7.677245378901811,1.3129779291849382,,,
ISPY1,kin_v1_raw,171,0.5303211317258638,0.23205215822835748,0.5471392451059062,,,,0.5053587331046494,0.2594902648545375,0.5598631698973774,0.703756388810304,0.23544476138602513,0.7788923573357651,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,kin_v1_lcc,171,0.5281929890449342,0.3073485386870954,0.6388129636860601,,,,0.5503972334627144,0.32396395804981987,0.6770275256438639,0.5967479321216138,0.3401310453701082,0.7290102389078499,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,kin_v2_raw,171,0.5356359218566931,0.23021982679205003,0.5557973267018962,,,,0.5107312897343937,0.2585590366036891,0.5676493759588672,0.7088383082873176,0.23040812475517422,0.7788923573357651,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,kin_v2_lcc,171,0.5336710308024728,0.30529550896899893,0.6402078596947061,,,,0.5557182680913907,0.32244816189457914,0.6856610029009532,0.6028532119599553,0.3378683658065059,0.7329811421693192,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,kin_v2_kinetic_cc,171,0.28548868906884556,0.3523926702671085,0.0,,,,0.3419619941523976,0.3791919923131666,0.0,0.30649884446936676,0.3858939420022346,0.0,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,kin_delta_v2_lcc_minus_raw,171,-0.0019648910542203876,0.1343200573655349,0.0124693590401093,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,kin_delta_kineticcc_minus_lcc,171,-0.24818234173362716,0.4038030985343173,0.0,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v1_raw_error_1_minus,171,0.4696788682741362,0.23205215822835748,0.4528607548940938,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v1_lcc_error_1_minus,171,0.47180701095506583,0.3073485386870954,0.3611870363139399,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v1_small50_error_1_minus,171,0.4621857967311508,0.23397356992460025,0.4489994260570117,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v1_small100_error_1_minus,171,0.4604706839055345,0.23439214002824613,0.4476728544525155,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v2_raw_error_1_minus,171,0.4643640781433068,0.23021982679205003,0.4442026732981038,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v2_lcc_error_1_minus,171,0.46632896919752725,0.30529550896899893,0.3597921403052939,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v2_small50_error_1_minus,171,0.45678456726842986,0.2320273654283791,0.4326012944741666,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
ISPY1,v2_small100_error_1_minus,171,0.45512444669954866,0.23245000512071615,0.4314313563769963,,,,,,,,,,,,,35.25184221467186,55.854340627945334,14.904794040194249,,,,,,
NACT,v1_raw,64,0.5616053732299022,0.21222566284722666,0.588052716244284,0.4197992328973103,0.20483170138336362,0.41648687562097775,0.5042800721334992,0.2550778899945349,0.4669897784593985,0.7878809765337609,0.23120199379278675,0.8992943147928243,34.00802002385277,27.88510716537276,26.697496762732044,30.754605470382938,53.06037908287118,10.474029656325001,2.2558076661791855,2.385425356356951,1.7974320054762798,0.8000712865770989,0.18672027918174453,0.8555340577202428
NACT,v1_lcc,64,0.6101155106637977,0.2780868110421151,0.7038776991687654,0.4899623321288914,0.26264892448358873,0.5430645161108869,0.5961151638174156,0.3034864701679099,0.6552773940178328,0.7350283300725642,0.2997705292786656,0.8977833408756339,29.317560365622136,26.528375693460386,18.526575188178686,30.754605470382938,53.06037908287118,10.474029656325001,1.7667637259779547,2.146783639741473,1.202585683209585,,,
NACT,v2_raw,64,0.558029443699041,0.21611066898421097,0.5880770442126917,0.41713512159269717,0.20704922202844636,0.41651120716878015,0.5016443636425028,0.2594453509564477,0.4670324168578183,0.786553522573932,0.23282657244784394,0.8992817447146384,34.42770404322767,27.890827817145535,27.169258870501654,30.754605470382938,53.06037908287118,10.474029656325001,2.2942915626326066,2.3955458492832515,1.8571355284500917,0.7942568835656718,0.1892462869619064,0.8461747791015537
