volume_ratio_group,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
0.5-1.0,v1_lcc_error_1_minus,155,0.272912901699278,0.173277751584514,0.2368024132730015,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v1_small50_error_1_minus,155,0.3075570677578582,0.14150279295447324,0.2795862409522696,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v1_small100_error_1_minus,155,0.3050243771037082,0.1411270787159088,0.278612118073537,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v2_raw_error_1_minus,155,0.30913487392658184,0.14080250572989317,0.2835616863951284,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v2_lcc_error_1_minus,155,0.2710448393398298,0.17231257749893417,0.238797744711518,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v2_small50_error_1_minus,155,0.30184173610272236,0.13955215518330397,0.2767765137941727,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
0.5-1.0,v2_small100_error_1_minus,155,0.29985084201067835,0.13908804126463675,0.2719454159738547,,,,,,,,,,,,,30.782007088427683,49.30892609046632,14.170455932617188,,,,,,
1.0-2.0,v1_raw,222,0.6197630495341114,0.18412964825580863,0.6509060606938741,0.47339974942487123,0.18563525980352708,0.48247990870337465,0.5153214598377163,0.19911719867688496,0.5264782525216766,0.8329483482796026,0.1536562492795485,0.8871738458204637,34.67089599936439,44.866715207582914,17.63519980435376,21.408191555019084,29.02263050727497,9.890998238101384,1.8955530554116826,1.161046051892698,1.5960515775892403,0.7921915911532682,0.18772163138117623,0.8598832685250848
1.0-2.0,v1_lcc,222,0.6601612718327884,0.2572912411217756,0.7426698573126931,0.5361130423959884,0.2306300639995034,0.5906721897325399,0.5922454254348047,0.24671938686734296,0.6626415285801119,0.7602095520480399,0.2856799026073707,0.8767979098306795,28.03934573115844,37.51906435726315,13.346790512660462,21.408191555019084,29.02263050727497,9.890998238101384,1.358133020739343,0.3398998228928637,1.2522277275456746,,,
1.0-2.0,v2_raw,222,0.6343459117222986,0.17700652141793088,0.6681523218078267,0.4876304498545619,0.18124549807457982,0.5016769803727991,0.5325921635486187,0.19422213868702934,0.5456286879660877,0.8328575150223273,0.14501302673361888,0.884248113588688,33.37710781539244,42.366196355987945,17.051315307617188,21.408191555019084,29.02263050727497,9.890998238101384,1.7921029194543927,0.8549022050410091,1.561890984282369,0.8007614358567157,0.18339458540506187,0.8693506733075078
1.0-2.0,v2_lcc,222,0.6717249983683771,0.2545925969875068,0.748912056854592,0.5487549744850809,0.22919179029789094,0.598608901841134,0.6086711429888347,0.24451979476852206,0.678631118576684,0.7612919066342062,0.28052768208493667,0.8744755963226668,27.40081756356403,36.776245075641086,13.053128585133827,21.408191555019084,29.02263050727497,9.890998238101384,1.3121556805589627,0.26043384769902583,1.226154570811512,,,
1.0-2.0,v1_small50,222,0.6310625656351344,0.1836722904904228,0.6659026412863933,0.48565557038617496,0.18692196662287094,0.4991410869109763,0.5300778195906732,0.20026590846319417,0.5403088881531949,0.831736953953084,0.15541396429907336,0.8857071713064457,33.774402387220384,44.031642336146035,17.23726693743374,21.408191555019084,29.02263050727497,9.890998238101384,1.8180604446537278,1.0329211629679562,1.5627287299585855,,,
1.0-2.0,v1_small100,222,0.6347848822893283,0.18354234481662432,0.6742766518302774,0.489730457966106,0.1872568680151216,0.5086104768169416,0.5350053131021937,0.20053298587056517,0.5485129718851078,0.8313602037629448,0.15574636538341555,0.8850873632054734,33.52536077752331,43.82699391869621,17.0013427734375,21.408191555019084,29.02263050727497,9.890998238101384,1.794059846532804,0.9915854709008483,1.5472194108067292,,,
1.0-2.0,v2_small50,222,0.6457003349415038,0.1765993183854896,0.6842388069087191,0.5002022163753039,0.18254157302899215,0.5200372804579536,0.5478305232644207,0.19535212845494093,0.5642024972214226,0.831560100970072,0.14695376744283548,0.8837750938070001,32.50784056447735,41.558213919521435,16.33501660895151,21.408191555019084,29.02263050727497,9.890998238101384,1.7215217994952001,0.7656198931243942,1.541839470371702,,,
1.0-2.0,v2_small100,222,0.6493577581163379,0.17636902627684967,0.6864098655696442,0.5042660341424855,0.18280549191368017,0.5225460808956575,0.5528154269948852,0.1955635622526314,0.5701842460368282,0.8310974136407918,0.14731923888287407,0.8834086400325263,32.27234712115987,41.36159494182546,16.268087013829916,21.408191555019084,29.02263050727497,9.890998238101384,1.6987254961377443,0.7286364875489313,1.5274684254980557,,,
1.0-2.0,kin_v1_raw,222,0.6197630495341114,0.18412964825580863,0.6509060606938741,,,,0.5153214598377163,0.19911719867688496,0.5264782525216766,0.8329483482796026,0.1536562492795485,0.8871738458204637,,,,21.408191555019084,29.02263050727497,9.890998238101384,,,,,,
1.0-2.0,kin_v1_lcc,222,0.6601612718327884,0.2572912411217756,0.7426698573126931,,,,0.5922454254348047,0.24671938686734296,0.6626415285801119,0.7602095520480399,0.2856799026073707,0.8767979098306795,,,,21.408191555019084,29.02263050727497,9.890998238101384,,,,,,
1.0-2.0,kin_v2_raw,222,0.6343459117222986,0.17700652141793088,0.6681523218078267,,,,0.5325921635486187,0.19422213868702934,0.5456286879660877,0.8328575150223273,0.14501302673361888,0.884248113588688,,,,21.408191555019084,29.02263050727497,9.890998238101384,,,,,,
1.0-2.0,kin_v2_lcc,222,0.6717249983683771,0.2545925969875068,0.748912056854592,,,,0.6086711429888347,0.24451979476852206,0.678631118576684,0.7612919066342062,0.28052768208493667,0.8744755963226668,,,,21.408191555019084,29.02263050727497,9.890998238101384,,,,,,
1.0-2.0,kin_v2_kinetic_cc,222,0.28881660252084995,0.3717512873431337,0.0,,,,0.29197763099974305,0.34553389852100014,0.0,0.3284355367780407,0.4218304933389837,0.0,,,,21.408191555019084,29.02263050727497,9.890998238101384,,,,,,
