target,feature,spearman_rho,p_value,n,abs_rho,q_value_bh
delta_v2_lcc_minus_v2_raw_dice,kin_v2_raw_voxels,-0.0706893414456703,0.10535962094528527,526,0.0706893414456703,0.3160788628358558
delta_v2_lcc_minus_v2_raw_dice,kin_fg_time_to_peak_s,-0.06596936584766284,0.13077982669827512,526,0.06596936584766284,0.3825309930924547
delta_v2_lcc_minus_v2_raw_dice,kin_fg_mean_first_enh,0.06469855945868744,0.1383764389791371,526,0.06469855945868744,0.39201006763447194
delta_v2_lcc_minus_v2_raw_dice,v1_small100_pred_vol_cm3,-0.06431711414292504,0.14072156274057968,526,0.06431711414292504,0.39201006763447194
delta_v2_lcc_minus_v2_raw_dice,kin_ring_auc_enh_norm,0.06331666537160095,0.14701704897328977,526,0.06331666537160095,0.39955662905441636
delta_v2_lcc_minus_v2_raw_dice,v1_small50_pred_vol_cm3,-0.06281392605249085,0.1502606126358489,526,0.06281392605249085,0.39955662905441636
delta_v2_lcc_minus_v2_raw_dice,kin_tumor_to_ring_max_enh_diff,-0.061793357813582236,0.15701203835569694,526,0.061793357813582236,0.4015051707637536
delta_v2_lcc_minus_v2_raw_dice,v1_raw_pred_vol_cm3,-0.06166802342535075,0.1578567338045527,526,0.06166802342535075,0.4015051707637536
delta_v2_lcc_minus_v2_raw_dice,v1_small100_pred_voxels,-0.06015411842650241,0.16833249821104765,526,0.06015411842650241,0.4190404742700548
delta_v2_lcc_minus_v2_raw_dice,v1_small50_pred_voxels,-0.05895861796420462,0.1769661391344575,526,0.05895861796420462,0.42705618503605175
delta_v2_lcc_minus_v2_raw_dice,v1_raw_pred_voxels,-0.05754320511559457,0.18760814903770054,526,0.05754320511559457,0.42705618503605175
delta_v2_lcc_minus_v2_raw_dice,kin_v1_raw_voxels,-0.05754320511559457,0.18760814903770054,526,0.05754320511559457,0.42705618503605175
delta_v2_lcc_minus_v2_raw_dice,v2_lcc_pred_to_gt_vol_ratio,0.05725872666463338,0.1898027489049119,526,0.05725872666463338,0.42705618503605175
delta_v2_lcc_minus_v2_raw_dice,pred_to_gt_vol_ratio,0.05725872666463338,0.1898027489049119,526,0.05725872666463338,0.42705618503605175
delta_v2_lcc_minus_v2_raw_dice,kin_ring_max_enh,0.05653228195389695,0.1954923451755959,526,0.05653228195389695,0.4315585733121646
delta_v2_lcc_minus_v2_raw_dice,kin_ring_mean_last_enh,0.05567225717149275,0.202388126894197,526,0.05567225717149275,0.4385076082707602
delta_v2_lcc_minus_v2_raw_dice,kin_fg_max_enh,0.052965281756195776,0.22524310828409796,526,0.052965281756195776,0.47915352125889926
delta_v2_lcc_minus_v2_raw_dice,kin_fg_auc_enh_norm,0.05137683329903044,0.23948082882496555,526,0.05137683329903044,0.500343874509303
delta_v2_lcc_minus_v2_raw_dice,kin_fg_mean_last_enh,0.04942557477066871,0.2578215151022494,526,0.04942557477066871,0.5292125836309329
delta_v2_lcc_minus_v2_raw_dice,kin_ring_auc_enh,0.046799159682544195,0.2840085686079962,526,0.046799159682544195,0.5622178416517448
delta_v2_lcc_minus_v2_raw_dice,kin_ring_washout_index,0.046720548242054634,0.28481910606003386,526,0.046720548242054634,0.5622178416517448
delta_v2_lcc_minus_v2_raw_dice,kin_gt_time_to_peak_s,-0.046383032479609135,0.2883168418726897,526,0.046383032479609135,0.5622178416517448
delta_v2_lcc_minus_v2_raw_dice,kin_fg_late_slope,0.04464702525709498,0.4118582117617453,340,0.04464702525709498,0.677203165073926
delta_v2_lcc_minus_v2_raw_dice,kin_gt_observed_uptake_rate,0.04225273720628146,0.33345406478175776,526,0.04225273720628146,0.618516223381669
delta_v2_lcc_minus_v2_raw_dice,kin_ring_observed_uptake_rate,0.04199233852336368,0.3364445333597501,526,0.04199233852336368,0.618516223381669
delta_v2_lcc_minus_v2_raw_dice,v2_raw_n_components,0.04182860515784867,0.3383336606532207,526,0.04182860515784867,0.618516223381669
delta_v2_lcc_minus_v2_raw_dice,kin_n_components,0.04182860515784867,0.3383336606532207,526,0.04182860515784867,0.618516223381669
