primary_failure_type,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
low_volume_undersegmentation,v1_raw_error_1_minus,50,0.6520992479103248,0.20133663031044502,0.6406322763920934,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v1_lcc_error_1_minus,50,0.6579552280462838,0.218698255984245,0.6228932712751869,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v1_small50_error_1_minus,50,0.6543401176582087,0.20281414384854266,0.645197857789159,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v1_small100_error_1_minus,50,0.6548533411892451,0.20323136622566387,0.6453202951113088,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v2_raw_error_1_minus,50,0.6539210279477696,0.1972859330676533,0.6444212964110855,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v2_lcc_error_1_minus,50,0.6648981054792311,0.21079863979566796,0.6280130091586678,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v2_small50_error_1_minus,50,0.6567783226524737,0.19837160514880015,0.6455547868141709,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
low_volume_undersegmentation,v2_small100_error_1_minus,50,0.6573755613614399,0.19868139274068172,0.6453006674583152,,,,,,,,,,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
mixed_or_boundary_error,v1_raw,53,0.5667638920863491,0.11073652585329655,0.6008070542519802,0.40314518116222264,0.10193589846660156,0.4293954283272805,0.5546204344088476,0.20339035741269434,0.5250146652141121,0.6438931221883805,0.12705139012002772,0.6155859261413201,33.131886464852485,37.521853455989536,19.134799277212004,25.754472185305378,28.76541914395701,15.211181640625,1.355420907513159,0.609008555156287,1.2382695552773393,0.8114879218190908,0.17044252330537654,0.8737886077537197
mixed_or_boundary_error,v1_lcc,53,0.6309451952319802,0.08405590204222786,0.6540319129424711,0.46566407457257364,0.07997310053072207,0.4859193313953488,0.671143311360501,0.18005932382321385,0.6412917140974178,0.6368378138658606,0.1284408321943474,0.6082773539792782,26.677117962536233,32.50260501747112,12.755153441187217,25.754472185305378,28.76541914395701,15.211181640625,1.0389174283888067,0.3961659666194793,0.959347959582426,,,
