overall,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
good,v1_lcc_error_1_minus,154,0.40522419945723465,0.2917959164606885,0.29848800933567415,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v1_small50_error_1_minus,154,0.4212341230895566,0.24486487370514765,0.35263841810745844,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v1_small100_error_1_minus,154,0.418426190363985,0.24521731000580646,0.34967832085055794,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v2_raw_error_1_minus,154,0.4262493391839944,0.2445141817322772,0.3569423729932393,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v2_lcc_error_1_minus,154,0.4040275672314821,0.2922654963813832,0.29848800933567415,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v2_small50_error_1_minus,154,0.41859898802495754,0.24533687199834175,0.3506160565189467,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
good,v2_small100_error_1_minus,154,0.4158576020480266,0.2456250665002726,0.3462264605677847,,,,,,,,,,,,,25.984280392566692,52.504098497575704,10.122149232407725,,,,,,
no_times,v1_raw,13,0.6242949144732752,0.1489258280957095,0.63533110110086,0.4694017832219103,0.15665484046270686,0.465556957891671,0.6118497729755905,0.20703171284187102,0.6038721282504418,0.704528709962191,0.17185548658228833,0.705986399905664,65.79232932003048,41.38752616437286,58.9907879329985,62.66171270804778,54.97309003086349,37.57749665999752,1.3267426642422213,0.6786322173498448,1.2517710104853608,0.860740424266183,0.11275564042856485,0.8599197391522448
no_times,v1_lcc,13,0.6333538937644836,0.22658810648200695,0.6838002784754121,0.49368207829800465,0.20075673507590844,0.5195262294109505,0.6659465197408287,0.260166603201144,0.7003196788342874,0.6518315658129883,0.26261280215697563,0.7057898667505208,57.537950685897876,39.27163468442047,40.64840656763408,62.66171270804778,54.97309003086349,37.57749665999752,1.1114613427464732,0.524304336432843,0.9435987372851632,,,
no_times,v2_raw,13,0.6242874927066759,0.1489280976569556,0.6353190566810397,0.4693940179301197,0.15665417326960346,0.4655440231589352,0.6118414315461282,0.20702555057603728,0.6038625999968443,0.7045245333257036,0.1718643182551675,0.705986399905664,65.79231171482803,41.38788041349929,58.99200864252634,62.66171270804778,54.97309003086349,37.57749665999752,1.326753735879202,0.6786677669843648,1.2518077153658864,0.8607408934108496,0.11274865726755816,0.8599182752097986
no_times,v2_lcc,13,0.63334779446584,0.22658885969148607,0.683791714651936,0.49367543631902655,0.20075603335395908,0.5195163427125146,0.6659382024008443,0.2601614244326481,0.7003196788342874,0.6518280517923759,0.26261694579898115,0.7057898667505208,57.538026979535026,39.272067772445915,40.649627277161926,62.66171270804778,54.97309003086349,37.57749665999752,1.1114670334832426,0.5243090602324221,0.9435987372851632,,,
no_times,v1_small50,13,0.6288748551626586,0.15033403851291605,0.6447647058823529,0.47468095295252766,0.15887804703507846,0.47575849646252,0.6208140838087697,0.2092839302053615,0.6118563046571488,0.7036559228375876,0.17288217843680143,0.7057898667505208,64.74353814738578,40.956723636215834,58.10821494436823,62.66171270804778,54.97309003086349,37.57749665999752,1.3048668256529377,0.6687127591144115,1.22898951463913,,,
no_times,v1_small100,13,0.630827919239443,0.1505158447426617,0.6486470492506621,0.476846289814338,0.15929006875019786,0.4799982483413982,0.6249412937558939,0.21142725580176336,0.6154316222822591,0.703578136700938,0.17297918883100094,0.7057898667505208,64.4068603005263,40.84203737945212,57.69805654301308,62.66171270804778,54.97309003086349,37.57749665999752,1.2969850010224335,0.6655846919835392,1.223312493117835,,,
no_times,v2_small50,13,0.628923923288319,0.1502929518741034,0.6447836701079444,0.474724917858395,0.1588349316961458,0.4757791474954423,0.6208820238269743,0.2092030666542986,0.6118563046571488,0.7036524088169751,0.1728893935105628,0.7057898667505208,64.73882551860653,40.96177367753731,58.10943565389607,62.66171270804778,54.97309003086349,37.57749665999752,1.3046059718687841,0.6686345179877351,1.2290262195196555,,,
no_times,v2_small100,13,0.6308213276941632,0.15051763421805572,0.6486662425470847,0.4768392698388558,0.1592891297881721,0.4800192690884407,0.6249331582045332,0.21142082826321348,0.6154316222822591,0.7035746226803256,0.17298640698999218,0.7057898667505208,64.40684269496005,40.84235885812707,57.69927725254093,62.66171270804778,54.97309003086349,37.57749665999752,1.2969939581008652,0.6656056782358838,1.2233491979983606,,,
no_times,kin_v1_raw,13,0.6242949144732752,0.1489258280957095,0.63533110110086,,,,0.6118497729755905,0.20703171284187102,0.6038721282504418,0.704528709962191,0.17185548658228833,0.705986399905664,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,kin_v1_lcc,13,0.6333538937644836,0.22658810648200695,0.6838002784754121,,,,0.6659465197408287,0.260166603201144,0.7003196788342874,0.6518315658129883,0.26261280215697563,0.7057898667505208,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,kin_v2_raw,13,0.6242874927066759,0.1489280976569556,0.6353190566810397,,,,0.6118414315461282,0.20702555057603728,0.6038625999968443,0.7045245333257036,0.1718643182551675,0.705986399905664,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,kin_v2_lcc,13,0.63334779446584,0.22658885969148607,0.683791714651936,,,,0.6659382024008443,0.2601614244326481,0.7003196788342874,0.6518280517923759,0.26261694579898115,0.7057898667505208,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,kin_v2_kinetic_cc,13,0.2861002737193429,0.3786245388206892,0.0,,,,0.37727687160144885,0.42957038956357296,0.0,0.27498694913401206,0.3740751487146314,0.0,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,kin_delta_v2_lcc_minus_raw,13,0.00906030175916411,0.12804562709298922,0.0264780536477525,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,kin_delta_kineticcc_minus_lcc,13,-0.3472475207464971,0.35077533572604724,-0.4029926782456223,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v1_raw_error_1_minus,13,0.3757050855267247,0.14892582809570953,0.36466889889914,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v1_lcc_error_1_minus,13,0.3666461062355164,0.22658810648200695,0.3161997215245878,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v1_small50_error_1_minus,13,0.3711251448373414,0.15033403851291605,0.3552352941176471,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v1_small100_error_1_minus,13,0.36917208076055685,0.1505158447426617,0.3513529507493379,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v2_raw_error_1_minus,13,0.37571250729332406,0.1489280976569556,0.3646809433189603,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v2_lcc_error_1_minus,13,0.36665220553416,0.2265888596914861,0.316208285348064,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v2_small50_error_1_minus,13,0.37107607671168097,0.1502929518741034,0.3552163298920556,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
no_times,v2_small100_error_1_minus,13,0.3691786723058367,0.15051763421805572,0.3513337574529153,,,,,,,,,,,,,62.66171270804778,54.97309003086349,37.57749665999752,,,,,,
poor,v1_raw,146,0.5458815563344465,0.23410960432005617,0.5788023136757825,0.4100908477817728,0.21957163606666724,0.40726492890576205,0.5114776408254792,0.27181269958934595,0.5232667258180943,0.7368373640239986,0.23673227499722244,0.8132018186680601,33.34803464830872,32.45533925536999,23.990367478032738,27.41368414244735,35.605989416614186,12.095644714512309,2.687498143892438,5.825660507134071,1.4042458416555301,0.7959924831096821,0.18565699839009295,0.8480590488273057
poor,v1_lcc,146,0.5651461987835724,0.30583648889960047,0.6753645518249647,0.4509291193640687,0.27301019391659287,0.5098596433401317,0.5792277912067338,0.3312685019022274,0.7063650525178589,0.6513100659391955,0.3321708655312565,0.7929829038465075,28.272189148321296,30.725383775485387,17.03400515897615,27.41368414244735,35.605989416614186,12.095644714512309,2.112610492444245,5.294506426750836,1.1155063779424585,,,
poor,v2_raw,146,0.5517992923687287,0.23464878069087391,0.5955500656132056,0.4159067917273922,0.21938001039506055,0.42406501857735496,0.5236765846586754,0.2743377582247601,0.5409137267111234,0.7333191674490479,0.23841918384654545,0.8132018186680601,32.85178451319969,32.25861569708357,23.181695167043365,27.41368414244735,35.605989416614186,12.095644714512309,2.626651641237274,5.805780762044206,1.4601120378914385,0.7959784630934792,0.18556621959491418,0.849293678403158
poor,v2_lcc,146,0.5687367344607056,0.30741188659544716,0.6922152080336942,0.45500126835567006,0.2736862044128618,0.5293037082194398,0.5896559962328599,0.33334891402575023,0.7080549399321845,0.6443450862981043,0.3366423262516619,0.7930580350782375,27.978155655335293,30.70319322991426,17.19869568350908,27.41368414244735,35.605989416614186,12.095644714512309,2.044305406933789,5.261805013190645,1.1023466870195282,,,
poor,v1_small50,146,0.5527518395919199,0.23631279688200627,0.5922478070523117,0.41756318730413705,0.22243005026786056,0.4207056564494779,0.5235247322388782,0.2751312538834686,0.5322541646819178,0.7346442888961524,0.23992908659502973,0.8125618155878348,32.4273402377012,31.70658670169812,23.60469660681627,27.41368414244735,35.605989416614186,12.095644714512309,2.5893153436584266,5.564474510001449,1.3568660808652788,,,
poor,v1_small100,146,0.5544488221182826,0.23664080836909987,0.6013561696006569,0.4193534457537295,0.22291777568424,0.4299629764539319,0.5265806680026716,0.27575028979044947,0.5379938323982508,0.7339411509895544,0.24021202831563343,0.8125618155878348,32.24212270761894,31.595096042986302,23.42137063435188,27.41368414244735,35.605989416614186,12.095644714512309,2.5700361851268716,5.554173670116694,1.35431763067859,,,
poor,v2_small50,146,0.5587507941394776,0.2370956001177291,0.6006207086628691,0.42360619784164916,0.22252903102289492,0.4292057743552477,0.536415596998769,0.27793846536993416,0.5597847046843774,0.7311200105479954,0.24151733309978007,0.8125618155878348,31.945404790395283,31.506656546246813,22.222494519313425,27.41368414244735,35.605989416614186,12.095644714512309,2.530409241966652,5.543961278509586,1.3770509690037338,,,
poor,v2_small100,146,0.5606272089913389,0.237518151957387,0.6054743031659442,0.4256234570773803,0.22313253356436083,0.4341803875940754,0.5399151276368553,0.2786803091680182,0.5635065705560864,0.7304059991800105,0.2418010390483879,0.8125618155878348,31.762345704418706,31.402901488192658,22.17814462697376,27.41368414244735,35.605989416614186,12.095644714512309,2.510683700719366,5.533907140005327,1.3628102111247373,,,
poor,kin_v1_raw,146,0.5458815563344465,0.23410960432005617,0.5788023136757825,,,,0.5114776408254792,0.27181269958934595,0.5232667258180943,0.7368373640239986,0.23673227499722244,0.8132018186680601,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,kin_v1_lcc,146,0.5651461987835724,0.30583648889960047,0.6753645518249647,,,,0.5792277912067338,0.3312685019022274,0.7063650525178589,0.6513100659391955,0.3321708655312565,0.7929829038465075,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,kin_v2_raw,146,0.5517992923687287,0.23464878069087391,0.5955500656132056,,,,0.5236765846586754,0.2743377582247601,0.5409137267111234,0.7333191674490479,0.23841918384654545,0.8132018186680601,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,kin_v2_lcc,146,0.5687367344607056,0.30741188659544716,0.6922152080336942,,,,0.5896559962328599,0.33334891402575023,0.7080549399321845,0.6443450862981043,0.3366423262516619,0.7930580350782375,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,kin_v2_kinetic_cc,146,0.276992043301338,0.36139704226548724,0.0,,,,0.3389466360882117,0.3964510594306932,0.0,0.30083596863186546,0.39953385612492576,0.0,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,kin_delta_v2_lcc_minus_raw,146,0.016937442091976857,0.14727978998327484,0.015110932842695352,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,kin_delta_kineticcc_minus_lcc,146,-0.2917446911593676,0.4425872351425425,-0.1933429026960376,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v1_raw_error_1_minus,146,0.4541184436655536,0.23410960432005615,0.4211976863242175,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v1_lcc_error_1_minus,146,0.4348538012164276,0.30583648889960047,0.3246354481750353,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v1_small50_error_1_minus,146,0.4472481604080801,0.2363127968820063,0.4077521929476883,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v1_small100_error_1_minus,146,0.4455511778817174,0.23664080836909984,0.3986438303993431,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v2_raw_error_1_minus,146,0.44820070763127123,0.23464878069087391,0.40444993438679444,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v2_lcc_error_1_minus,146,0.4312632655392944,0.30741188659544716,0.30778479196630576,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v2_small50_error_1_minus,146,0.4412492058605224,0.2370956001177291,0.3993792913371309,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
poor,v2_small100_error_1_minus,146,0.43937279100866106,0.237518151957387,0.3945256968340558,,,,,,,,,,,,,27.41368414244735,35.605989416614186,12.095644714512309,,,,,,
