target,feature,spearman_rho,p_value,n,abs_rho,q_value_bh
v2_lcc_dice_gap_to_volume_bound,v2_lcc_pred_to_gt_vol_ratio,0.08089626234401524,0.0637454171668196,526,0.08089626234401524,0.11700108214163091
v2_lcc_dice_gap_to_volume_bound,kin_tumor_to_ring_auc_norm_diff,0.07730494626404467,0.07649444497010832,526,0.07730494626404467,0.13535926245032087
v2_lcc_dice_gap_to_volume_bound,kin_ring_max_enh,0.07729092863687852,0.07654799669604352,526,0.07729092863687852,0.13535926245032087
v2_lcc_dice_gap_to_volume_bound,kin_gt_auc_enh,0.04573889901845689,0.29507195612624737,526,0.04573889901845689,0.4074803203648178
v2_lcc_dice_gap_to_volume_bound,kin_ring_auc_enh,0.03987565540137311,0.36138817443267957,526,0.03987565540137311,0.4763753208430776
v2_lcc_dice_gap_to_volume_bound,n_phases,-0.03678674042092546,0.3998045643220578,526,0.03678674042092546,0.5176041234526642
v2_lcc_dice_gap_to_volume_bound,kin_fg_auc_enh,0.0301974733227033,0.48951548401873524,526,0.0301974733227033,0.611894355023419
v2_lcc_dice_gap_to_volume_bound,v2_lcc_pred_vol_cm3,0.029301211582707848,0.5025012235013919,526,0.029301211582707848,0.622757926561554
v2_lcc_dice_gap_to_volume_bound,kin_fg_auc_enh_norm,0.02564438310587328,0.5573089707997336,526,0.02564438310587328,0.6516919416609788
v2_lcc_dice_gap_to_volume_bound,kin_fg_max_enh,0.022430635936454797,0.6077551964148264,526,0.022430635936454797,0.7049960278411987
v2_lcc_dice_gap_to_volume_bound,late_dev_s,0.020330801343907773,0.6417743358945565,526,0.020330801343907773,0.7336322600046663
v2_lcc_dice_gap_to_volume_bound,kin_gt_washout_index,0.012268182899647293,0.7789342537664312,526,0.012268182899647293,0.8446717067572475
v2_lcc_dice_gap_to_volume_bound,gt_vol_cm3,0.011263452026217084,0.7966250202356209,526,0.011263452026217084,0.8493428524570958
v2_lcc_dice_gap_to_volume_bound,log_gt_vol_cm3,0.011263452026217084,0.7966250202356209,526,0.011263452026217084,0.8493428524570958
v2_lcc_dice_gap_to_volume_bound,early_dev_s,-0.0002858825534871486,0.9947810508178178,526,0.0002858825534871486,0.9947810508178178
v2_lcc_dice_utilization_of_volume_bound,v2_raw_largest_component_fraction,0.3226187102939676,3.3167920121268584e-14,526,0.3226187102939676,3.2062322783892965e-13
v2_lcc_dice_utilization_of_volume_bound,v1_raw_largest_component_fraction,0.309541005644077,3.830103542579735e-13,526,0.309541005644077,3.0853611870781197e-12
v2_lcc_dice_utilization_of_volume_bound,v2_raw_second_largest_component_fraction,-0.2804917895125476,5.7683556295137415e-11,526,0.2804917895125476,3.4850481928312186e-10
v2_lcc_dice_utilization_of_volume_bound,v2_raw_n_components,-0.2738738301233829,1.6716995275383642e-10,526,0.2738738301233829,9.695857259722512e-10
v2_lcc_dice_utilization_of_volume_bound,v1_raw_n_components,-0.2658216849752751,5.872633098213457e-10,526,0.2658216849752751,3.2751223047728897e-09
v2_lcc_dice_utilization_of_volume_bound,v2_raw_pred_to_gt_vol_ratio,-0.24658815544305532,1.0002014487741634e-08,526,0.24658815544305532,5.179614645437632e-08
v2_lcc_dice_utilization_of_volume_bound,v1_raw_pred_to_gt_vol_ratio,-0.23722820479324913,3.658099003911157e-08,526,0.23722820479324913,1.8290495019555787e-07
v2_lcc_dice_utilization_of_volume_bound,v2_lcc_pred_to_gt_vol_ratio,-0.17368394252371425,6.217906185789636e-05,526,0.17368394252371425,0.00021990156022914567
v2_lcc_dice_utilization_of_volume_bound,v2_raw_pred_vol_cm3,-0.14534744317008746,0.0008277681129781583,526,0.14534744317008746,0.002353458360428097
v2_lcc_dice_utilization_of_volume_bound,kin_gt_max_enh,-0.1361178806320074,0.001754206045720043,526,0.1361178806320074,0.004710368085729745
v2_lcc_dice_utilization_of_volume_bound,kin_tumor_to_fg_max_enh_diff,-0.13450516383529357,0.0019911117425778844,526,0.13450516383529357,0.005249294594068968
v2_lcc_dice_utilization_of_volume_bound,kin_gt_auc_enh_norm,-0.11764603879257567,0.00691017798051745,526,0.11764603879257567,0.016699596786250503
v2_lcc_dice_utilization_of_volume_bound,kin_ring_auc_enh_norm,-0.11334182730707072,0.009277274649472752,526,0.11334182730707072,0.021696852002799177
v2_lcc_dice_utilization_of_volume_bound,kin_tumor_to_ring_max_enh_diff,-0.10178204176405121,0.019551129258337494,526,0.10178204176405121,0.04361405757629133
v2_lcc_dice_utilization_of_volume_bound,kin_ring_max_enh,-0.09879946531855677,0.023445806016541497,526,0.09879946531855677,0.05074092346863458
v2_lcc_dice_utilization_of_volume_bound,kin_tumor_to_ring_auc_norm_diff,-0.08114942366145458,0.06291703710797429,526,0.08114942366145458,0.11696115872636245
v2_lcc_dice_utilization_of_volume_bound,kin_gt_late_slope,0.07679420434960758,0.1977238437012472,283,0.07679420434960758,0.2986453889237588
v2_lcc_dice_utilization_of_volume_bound,v2_lcc_pred_vol_cm3,-0.0699806800316289,0.10890534538484724,526,0.0699806800316289,0.18361947768375406
v2_lcc_dice_utilization_of_volume_bound,kin_gt_auc_enh,-0.06698022435621506,0.12497076925398175,526,0.06698022435621506,0.20360406226772307
v2_lcc_dice_utilization_of_volume_bound,kin_ring_auc_enh,-0.06382027383599756,0.14382167987947247,526,0.06382027383599756,0.23171270647248343
v2_lcc_dice_utilization_of_volume_bound,gt_vol_cm3,0.049130595576857006,0.2606764887580919,526,0.049130595576857006,0.36968294868744
v2_lcc_dice_utilization_of_volume_bound,log_gt_vol_cm3,0.049130595576857006,0.2606764887580919,526,0.049130595576857006,0.36968294868744
v2_lcc_dice_utilization_of_volume_bound,n_phases,0.04472411591322106,0.3059269984106284,526,0.04472411591322106,0.418485044995671
v2_lcc_dice_utilization_of_volume_bound,kin_fg_auc_enh,-0.020212428168132814,0.6437154984633731,526,0.020212428168132814,0.7336322600046663
v2_lcc_dice_utilization_of_volume_bound,kin_gt_washout_index,-0.019667681057066847,0.6526797347627721,526,0.019667681057066847,0.7336322600046663
v2_lcc_dice_utilization_of_volume_bound,late_dev_s,-0.01413504073467019,0.7463713586502962,526,0.01413504073467019,0.8198776288204012
v2_lcc_dice_utilization_of_volume_bound,kin_fg_auc_enh_norm,-0.004646449312641662,0.9153348688121727,526,0.004646449312641662,0.9480253998411788
v2_lcc_dice_utilization_of_volume_bound,kin_fg_max_enh,-0.0032959951143079268,0.9398861212390842,526,0.0032959951143079268,0.9622238173501654
v2_lcc_dice_utilization_of_volume_bound,early_dev_s,-0.0027981951005238213,0.9489517646970597,526,0.0027981951005238213,0.9622238173501654
v2_lcc_precision,v2_raw_pred_to_gt_vol_ratio,-0.7435098008418006,1.2584880857576484e-93,526,0.7435098008418006,1.8248077243485903e-91
v2_lcc_precision,v2_lcc_pred_to_gt_vol_ratio,-0.7362721458598049,6.267142731177975e-91,526,0.7362721458598049,4.543678480104032e-89
v2_lcc_precision,v1_raw_pred_to_gt_vol_ratio,-0.7268588508653662,1.4948721092981249e-87,526,0.7268588508653662,7.225215194940936e-86
v2_lcc_precision,v2_raw_largest_component_fraction,0.34957610144370715,1.452037177644535e-16,526,0.34957610144370715,2.63181738448072e-15
v2_lcc_precision,v1_raw_largest_component_fraction,0.33141804986682094,5.9722753664881705e-15,526,0.33141804986682094,6.661384062621422e-14
v2_lcc_precision,v2_raw_n_components,-0.32302930784292894,3.0655654213801915e-14,526,0.32302930784292894,3.1750499007151985e-13
v2_lcc_precision,v2_raw_second_largest_component_fraction,-0.3212730455259569,4.290055306272261e-14,526,0.3212730455259569,3.8878626213092363e-13
v2_lcc_precision,v1_raw_n_components,-0.3112535181575277,2.799219581185264e-13,526,0.3112535181575277,2.387569642775666e-12
v2_lcc_precision,gt_vol_cm3,0.3065178841936062,6.628985416565061e-13,526,0.3065178841936062,4.577156597152066e-12
v2_lcc_precision,log_gt_vol_cm3,0.3065178841936062,6.628985416565061e-13,526,0.3065178841936062,4.577156597152066e-12
v2_lcc_precision,kin_tumor_to_fg_max_enh_diff,-0.22544851833729318,1.7348284965037506e-07,526,0.22544851833729318,8.114520386872382e-07
v2_lcc_precision,kin_gt_max_enh,-0.2088490134486392,1.3525244100173426e-06,526,0.2088490134486392,5.447667762569852e-06
v2_lcc_precision,v2_raw_pred_vol_cm3,-0.20182316689386184,3.073625564415551e-06,526,0.20182316689386184,1.2045289374060943e-05
v2_lcc_precision,kin_gt_auc_enh_norm,-0.20037518998498435,3.6273774829502427e-06,526,0.20037518998498435,1.3841308816520663e-05
v2_lcc_precision,kin_ring_max_enh,-0.18402250591073785,2.168652675320537e-05,526,0.18402250591073785,8.062939433884047e-05
v2_lcc_precision,kin_gt_auc_enh,-0.17477097805427955,5.581514104233197e-05,526,0.17477097805427955,0.00020232988627845336
